0|-282798.328|0.000|0.000|0.000|0|0.000|262362.050|1200|0|139
1|-283109.357|0.000|0.000|1000000.000|1|1000000.000|267416.133|1198|3|149
2|-285236.086|0.000|0.000|0.000|0|0.000|259559.470|1201|0|123
3|-255452.536|0.000|0.000|2200000.000|2|1100000.000|245178.558|1200|4|162
4|-256127.904|0.000|0.000|1000000.000|1|1000000.000|240744.206|1209|2|178
5|-272999.435|0.000|0.000|1200000.000|1|1200000.000|247475.742|1199|1|170
6|-274179.303|0.000|0.000|1000000.000|1|1000000.000|257340.257|1197|3|147
7|-277827.011|0.000|0.000|0.000|0|0.000|252240.233|1200|0|129
8|-249647.805|0.000|0.000|2200000.000|2|1100000.000|241487.586|1195|3|165
9|-241926.456|0.000|0.000|5200000.000|5|1040000.000|241563.408|1187|13|144
10|-276568.904|0.000|0.000|2200000.000|2|1100000.000|257550.943|1194|5|158
11|-282337.223|0.000|0.000|2200000.000|2|1100000.000|264155.419|1195|4|125
12|-272520.095|0.000|0.000|4200000.000|4|1050000.000|258276.058|1190|8|132
13|-275961.789|0.000|0.000|1000000.000|1|1000000.000|247342.117|1202|1|157
14|-267432.951|0.000|0.000|1200000.000|1|1200000.000|251500.030|1197|3|153
15|-268350.265|431417.501|-149.006|1000000.000|1|1000000.000|250465.074|1199|1|118
16|-290393.393|251672.341|-405.429|0.000|0|0.000|257789.603|1199|0|64
17|-251108.935|197642.531|-631.913|2200000.000|2|1100000.000|227801.946|1194|5|50
18|-313547.499|172396.141|-823.660|0.000|0|0.000|213631.746|1201|0|41
19|-297728.423|168846.208|-1027.076|0.000|0|0.000|195580.689|1200|0|54
20|-306737.254|146422.875|-1245.959|0.000|0|0.000|191259.751|1200|0|69
21|-305494.372|136483.489|-1458.008|0.000|0|0.000|188612.638|1200|0|62
22|-260447.307|127423.988|-1673.651|0.000|0|0.000|191233.079|1200|0|53
23|-240122.144|110649.020|-1883.761|0.000|0|0.000|200852.611|1200|0|160
24|-218288.000|101575.938|-2101.240|0.000|0|0.000|202188.000|1200|0|211
25|-218188.000|91701.483|-2304.453|0.000|0|0.000|202188.000|1200|0|206
26|-218028.000|77020.904|-2500.579|0.000|0|0.000|202188.000|1200|0|198
27|-218488.000|67168.144|-2694.699|0.000|0|0.000|202188.000|1200|0|221
28|-212901.641|54532.501|-2869.156|1000000.000|1|1000000.000|198635.965|1198|1|116
29|-217645.198|40981.024|-3058.955|0.000|0|0.000|202184.808|1200|0|195
30|-216150.459|32237.917|-3212.870|0.000|0|0.000|198347.352|1200|0|177
31|-254010.930|25146.264|-3380.369|1000000.000|1|1000000.000|196511.694|1197|2|333
32|-212800.140|20049.760|-3561.612|0.000|0|0.000|178375.119|1201|0|154
33|-232693.090|17217.468|-3684.086|1000000.000|1|1000000.000|170607.525|1197|1|95
34|-192516.672|11228.543|-3814.777|1000000.000|1|1000000.000|160753.475|1201|1|0
35|-176583.603|9295.493|-3898.957|1000000.000|1|1000000.000|160557.802|1201|1|0
36|-172116.652|7616.739|-3951.024|1000000.000|1|1000000.000|163678.560|1199|3|28
37|-173563.475|5447.858|-3994.082|1000000.000|1|1000000.000|159822.321|1198|2|0
38|-171991.616|4184.897|-4021.451|1000000.000|1|1000000.000|160668.418|1198|2|0
39|-167271.489|4590.896|-4072.377|1000000.000|1|1000000.000|160292.642|1199|1|0
40|-166114.185|4983.744|-4158.141|2200000.000|2|1100000.000|160747.445|1195|4|0
41|-168593.767|5777.436|-4245.397|1200000.000|1|1200000.000|161924.535|1199|1|15
42|-158627.994|6379.099|-4312.810|4200000.000|4|1050000.000|161458.336|1190|10|3
43|-157096.874|7756.346|-4396.327|6000000.000|6|1000000.000|161837.269|1188|13|2
44|-157950.555|9104.649|-4476.101|7000000.000|7|1000000.000|164487.844|1184|15|31
45|-153238.203|11485.817|-4576.739|7000000.000|7|1000000.000|163381.684|1184|17|0
46|-147459.921|14389.086|-4659.706|9400000.000|9|1044444.444|160972.920|1181|22|0
47|-158342.945|16026.920|-4642.087|6400000.000|6|1066666.667|162447.167|1187|13|0
48|-151003.435|18687.002|-4651.361|11400000.000|11|1036363.636|162692.189|1179|23|0
49|-146963.075|21523.135|-4629.038|9800000.000|10|980000.000|161252.224|1185|18|0
50|-156866.923|20684.739|-4632.084|5600000.000|5|1120000.000|161736.992|1191|10|1
51|-142803.957|26602.932|-4635.927|11600000.000|12|966666.667|162369.701|1175|25|1
52|-135203.463|34942.892|-4642.429|13800000.000|14|985714.286|161696.564|1167|32|1
